,business_id,attributes.RestaurantsPriceRange2,stars,review_count
104,b'WEouNHHxfqGa8gYAnyiyBA',,3.5,3
105,b'9zSRAOUIM3I2ZnY9xwvioQ',1.0,3.0,10
106,b'VGRn5KgYKMkqdIKtBUzQQA',2.0,3.0,100
107,b'WO5uv-M-u5AG24PiRLYnZA',2.0,4.0,7
108,b'0ZNIAF_1d83uK1Z7mADTfA',1.0,2.5,9
109,b'1P1YZZl9HXSYeSJR6cjf_Q',,3.0,12
110,b'j37Z4LIXTH9j6KOq9aX8DQ',2.0,3.5,169
111,b'_eKvk2GoGKb3CoYolHgRlg',2.0,4.5,88
112,b'SAae44V24aD7y_HpgxjhPA',2.0,3.5,192
113,b'fx2GjJQyFb4FbueV0vX-KA',3.0,4.5,40
114,b'6Kp9W5ZvVn--6caQ73_QXg',1.0,4.0,8
115,b'_--LAZXefssKWdyn-BTp9A',,2.0,3
116,b'kRgP3LxO2ugBrC1YpWLncA',2.0,4.0,131
117,b'dd9eOcxR3KsEHkimIwqcrg',2.0,2.5,10
118,b'mfQlXkeNhW1vz_1iq63mNQ',1.0,2.5,23
119,b'owwKUc2VFUMgRPZFEgrtKA',1.0,4.0,17
120,b'6CpAWkTcqqNtGAfOsPeFUw',2.0,3.5,9
121,b'u29lf2yPd-qK5ThAS9FRQQ',2.0,4.5,61
122,b'PmDhZiyiHI6O3RJXXojJcA',,2.0,4
123,b'XjbPr3o-YTsticeavLjTEg',2.0,2.0,20
124,b'kFuFm8NmxyVkj4xVWO1ugw',,2.5,3
125,b'lUSd0oIMqN4qbFJWX8mIzA',1.0,4.0,4
126,b'KYEZATGRY5aD69ZR6VvyWQ',2.0,3.5,31
127,b'inaACfObL1NBNJmBG11iuQ',1.0,4.0,13
128,b'pBoWsom3mZFYo9EucIWRDg',2.0,4.0,157
129,b'E4I_MLoRNwLCZ8mHr4fRpQ',1.0,3.5,5
130,b'7J_8O6w79raFRSORc3bRew',1.0,4.0,249
131,b'qB15WElGAlI_eGWjn0kT2w',1.0,2.0,18
132,b'575BoZY8tDPcfSRcdsUNLw',1.0,3.0,42
133,b'QAXFmt__jImnIEvhAVZsJA',2.0,2.0,17
134,b'Di5ApLgoQpcv5Aew82fI_A',2.0,3.5,19
135,b'OJ23YGPnscazBaX4CyssKg',1.0,4.0,10
136,b'rSCevr5tQJTxPzMIq3n5Gw',1.0,2.5,14
137,b'3N5bwNdig7uRddd3kozENA',2.0,2.5,17
138,b'tCJGEQVqjELLYv3fPNX5Rw',3.0,3.5,190
139,b'W8GVfGILy7an385lZSEvSw',1.0,2.0,18
140,b'rv9T1qGHbh9eXqFpKEPy_A',2.0,3.5,90
141,b'gEJZ5USuvC1r8_QvSvDCNA',1.0,3.5,50
142,b'OvbLKXkJCg8ZMHX9L5faIA',1.0,4.0,28
143,b'75RP4HSsSJOe_e7e2e3jQQ',2.0,4.0,29
144,b'2cfzQGANxuIGcCUrlwnV7w',1.0,2.0,18
145,b'1vU_fJZ8B8oCc7S4dtRuEw',2.0,3.5,20
146,b'f-ZCLP1SL1a8qvTrPBI-DQ',2.0,4.0,3
147,b'wRmPV-RvcqcjeyUeOaJQCg',,2.5,3
148,b'JxSmlL_MckX0dvS5XBg0Cg',1.0,4.0,48
149,b'HVd718KlG6VdY5oh5LH7mQ',2.0,3.0,7
150,b'T2jfXhvQPk9wLdt1OVV-Kg',2.0,3.0,24
151,b'ECqc9Xd0dTdKmcNrbIizAw',2.0,4.0,54
152,b'xT_xzBj-CmxdXdcx6ONGLA',2.0,4.0,6
153,b'dcGq4lhHAuPpKYHcLP_Xmg',2.0,2.5,3
154,b'AYnFgzhlMLs4c3G-k-cA0A',1.0,2.5,6
155,b'ugdUuApH3pYXggW5qpbALg',1.0,3.5,19
156,b'1Nq7GxjvEDgAJxBeOjR_9Q',1.0,2.5,92
157,b'-p-CuUMzN0HQz9OCQ8SZOA',,3.0,8
158,b'ZBSha-zoPLias7wCQ0ZyVw',2.0,3.0,18
159,b'DkBer3JjUGfKEsZCLtfgvA',1.0,4.0,11
160,b'to2cGMKdaw7ZHbXMzpfhlA',,3.0,7
161,b'X2oxkKB-wlu8xV0P8fbfiQ',1.0,3.0,10
162,b'0RrHQNdsMK3jPlK4f9_wWA',2.0,2.5,10
163,b'T1U7Te9Ulv2Qqfzna4JuYA',,3.5,3
164,b'yHCoJZh5nx0Onr5xgMaUHg',2.0,4.0,92
165,b'EgGdnaotJpPvxCFyZPJeUw',1.0,2.0,13
166,b'5bGFrGqzooCchYXXorGL7w',,2.5,6
167,b'-Ut87cwGFsO3444Rd11p0Q',1.0,3.5,63
168,b'lK-wuiq8b1TuU7bfbQZgsg',4.0,3.0,4
169,b'VaFRggkuU-gZDMbnvAZOtg',2.0,4.0,7
170,b'lrm8hNDtwd5Wd0tVjOgCyw',2.0,3.5,55
171,b'D1E_6MBFKeU2a7EQ4IwoEQ',2.0,2.5,15
172,b'qwlsGR-pJb6xMWJBqiNIQw',2.0,3.5,34
173,b'03bL5yYHb-chhJwyeSAkfQ',1.0,4.0,19
174,b'AfL8Ds7ex73tfVbq3EFWKg',,5.0,6
175,b'k-6pef2sjWEyyBqgTAQcRA',2.0,3.5,29
176,b'R8Mw0iFenJ3nwXuZb7Ql4A',1.0,3.5,39
177,b'AKhyVVdettT6M-ExhYKHdw',2.0,4.0,10
178,b'KENynjpbyq33DjGWXOip2Q',1.0,4.5,5
179,b'J1oc5GMKIiVZ16tgWJtEdg',,3.0,5
180,b'LPq-IOpA_VrZ2xRh1A6Ssw',2.0,3.5,10
181,b'bGao_iVv3TAYcZ_5y9bOCQ',3.0,5.0,3
182,b'Xq9SvfRq_PBr8ma6vwh_Mw',3.0,3.5,3
183,b'm6RT6O6Ad8pAfQwyjxYA8w',2.0,4.5,4
184,b'0LKcSabd5Gd5oz-qrHTzZg',2.0,3.0,5
185,b'wztnDEbXD1VNvHMMPj2tMw',1.0,1.5,42
186,b'mZK8IBkMFzOX2UmA7_BylA',1.0,2.5,78
187,b'_3IE9guLHvAr-kJpH4Zd7Q',2.0,3.5,3
188,b'oHeiAs-mnDJU1_4BD8_5Dg',2.0,3.5,49
189,b'FuO6d7IR1ee-3Bfo-gu1HQ',2.0,3.0,58
190,b'zG0oD8WNqH94ZFZf_VBLgg',2.0,3.0,4
191,b'e4tpnasQOzkoIegUg__aiw',,4.5,3
192,b'pFmuMpPANaAFQ1PGVv1FeQ',2.0,3.0,4
193,b'WMj5Uj04pAqFxLMnJQcQqw',1.0,2.5,61
194,b'tpG_KqvR1v2GrlLKNAChBw',,3.0,4
195,b'RGmBfqdFb0giLPG-SZbQUQ',3.0,3.0,4
196,b'bEn1L8tr2SFTlyQIw79gOg',2.0,3.5,11
197,b'NoSj3hV8Rlz_gUsOL4_EjQ',2.0,2.5,21
198,b'OlGImeovM5U14T5q5DnVSg',1.0,3.0,4
199,b'M-rqZ56wTGSNoIIsBSlhDA',1.0,3.0,34
200,b'0s0Xthk1JWrBUu74M81Xyg',2.0,4.0,109
201,b'SlelFNxQz5PJbl6kkjI0OA',3.0,3.0,7
202,b'7aUnd76Myn3ocL425AWGeg',1.0,4.0,14
203,b'eY2i8JbK0AnFvMs-CyV39w',2.0,1.5,8
204,b'rG-yvE321mGxakrO-55J5Q',1.0,4.0,5
205,b'kgAFhUm4sim7RPnNDvSZew',1.0,1.0,7
206,b'pUihHVilZtpZz4FApnOvtA',1.0,4.0,14
207,b'LhWwwDJ2l79a1tHrpcdK6A',2.0,3.0,22
208,b'z-5YXiSmZchuoANnqfp1vg',2.0,3.5,13
209,b'4-YKQyhDR2bZ26AYgZ7aFg',1.0,4.0,30
210,b'bQczh42duSfnETW-73xaTQ',1.0,2.5,7
211,b'IfUkm42SB9D0m_ZbkQ711A',1.0,4.0,138
212,b'7U23rwCmVWasFQ0cHRMYVw',1.0,3.0,14
213,b'sUMi2q41l4AzOsmJMRY8zQ',2.0,3.5,119
214,b'CyKi4WgsRNpp3jgsxBEcDg',1.0,4.0,34
215,b'_ewxwEwJM-IYfIYnKpQOZw',1.0,4.5,47
216,b'sKIAHIGW0viQGFAMGgQ3Rg',,4.5,6
217,b'EEePiBwchl-TIBVcTdE0RA',1.0,2.0,26
218,b'nsoSw8B3teY2FGAEPfiVfA',2.0,4.0,6
219,b'qLCrPakPU9uArigtDu-KiQ',2.0,5.0,11
220,b'cRrwqSHsJLC9C6ZWJ50aFw',1.0,3.5,8
221,b'A029GQG1S3ekPit6cObcBA',2.0,4.0,109
222,b'ziEGXxNH55x7CMi0eAouKg',,4.0,3
223,b'0v984vlPQfb4VZWvBJSsfg',2.0,3.0,59
224,b'JlIqG-00xE7ZpypSYq4uMQ',2.0,4.5,9
225,b'itnExCtgV-49SKgMs3M7kg',2.0,3.5,18
226,b't2GtB-aiOzrNnuGxZV190g',1.0,2.0,13
227,b'J9f-9Prw2YVM-fiZqv2fmQ',1.0,3.5,210
228,b'O_UiTH7YjqTS1UTk-shFnA',1.0,4.0,4
229,b'yIZROHhe6hfmmzLCtTIEJQ',,2.0,3
230,b'9YiIVnH_QokhOCqho28CPg',,1.5,5
231,b'TIpwAF4h4A7Smj17T8uL9A',2.0,3.0,11
232,b'2utGLjz9HlhK6QqPOAtGHg',1.0,2.0,3
233,b'-JDAieYuZocQSVYGqwWKog',,4.0,5
234,b'gchI4BdZ76teMX9BsI2H-w',1.0,2.5,9
235,b'KhWl4Mwhm_Oqq0zIIz-0wQ',3.0,2.5,508
236,b'M6jDeU_3sigyxVnRgHTBDg',2.0,4.5,5
237,b'-DtaPJJ-beogNkDKusGhlA',2.0,3.5,36
238,b'wtazPNyIbsRMHmrpEYbqZA',1.0,3.0,38
239,b'NVzyNCSHRbOe0x1A74I61w',2.0,2.5,5
240,b'v0byOL8VL6v6muGa1anxFA',2.0,4.5,214
241,b'eSQt_QNjxNEYN3bF1fHbQg',3.0,3.5,25
242,b'wFnMOhf51su_yIcHWdCeLw',2.0,5.0,7
243,b'aNe8ofTYrealxqv7VtFTuw',2.0,3.5,215
244,b'lHyTZFd8XXtvPwo-_qeTXA',1.0,3.5,33
245,b'a5xUI7TvsNhM5gZr6KowDg',2.0,3.5,93
246,b'HQObn6hrV9WoeFObGfa2YQ',1.0,4.5,199
247,b'pidpBdWsOFfe7pWypBIoiQ',2.0,4.0,42
248,b'PgJgpW4TKQ8IoALH2Yq-zA',2.0,3.0,1033
249,b'VqF6Uky7SGfjWitgxrhlJA',1.0,4.0,9
250,b'w55IYhyLHUdsRlo_EvMmNQ',2.0,3.0,76
251,b'7fSE99-qeIVXpkbNkheeHg',1.0,3.0,4
252,b'S8FDnhP4WKlRhJxSIkcxFg',2.0,3.5,130
253,b'EC7NrIHKk6i3US_XJlDWDA',1.0,4.0,166
254,b'kyphxFtMIC6w7ktg-fwxWA',2.0,2.0,41
255,b'YT9zQ9dL4sFZg0Y8IPK6CQ',1.0,4.5,61
256,b'b6ucK0IXd9L4pBYrysBNLg',2.0,3.0,8
257,b'5vgieFiCubi43G6ciiFhNQ',2.0,4.5,53
258,b'vhKUBKcOm8zOLxeS3XM9iA',2.0,3.0,67
259,b'ljuYsa-fVptTin3158qZHQ',1.0,2.5,3
260,b'frCxZS7lPhEnQRJ3UY6m7A',2.0,4.0,1694
261,b'voLJgLfvODVSQc_mW7x6Hg',2.0,4.0,15
262,b'7kO8bObVGFa-T3mj6PVYsg',1.0,5.0,4
263,b'Z1etKi_kBsMr3oGolRrGaA',2.0,4.5,4
264,b'5Y-p9QJLrg2P0I8RjJ9TTQ',1.0,3.0,9
265,b'9L8UgjIvLfwylrFacB2HuA',3.0,4.0,15
266,b'OQtldLhTbdyRRYSdA5rxRw',2.0,3.0,105
267,b'x1IPOlH_O5D3qZdZo6YyEA',2.0,3.5,17
268,b'WtqzJcXEt5lc0hSeJ-bAJg',1.0,3.0,24
269,b'hJX8WoV-KbFVHojZ6i83Cg',1.0,3.5,17
270,b'om4t1hDJRQqTRS9VT7ADhA',2.0,3.0,27
271,b'mI5UYpuYxjiumMLgANoa9A',1.0,2.5,70
272,b'gwYt_q3Ob7aQJIefIBsZiQ',1.0,4.0,264
273,b'-n1g9MdeG46v1-gzZ4ldvQ',1.0,2.0,21
274,b'MWcN6qLWTfRJqLySxwJNqQ',1.0,4.0,42
275,b'kiU9C58n7dgygdrpjOQXMQ',1.0,4.0,62
276,b'1W_gZM_uuEvJqapbIl6z9Q',1.0,4.5,31
277,b'xfbjRpE3yhRQ9Zw-D_mBgQ',2.0,4.0,70
278,b'N0N4mD2DTgR4BR8SlIwLSA',,4.0,8
279,b'7Zt5xgAmPjpc5yfyC9mHYQ',2.0,4.0,15
280,b'7W9I_S3llnTAW1B-iCoM6g',2.0,3.5,24
281,b'rwKSKNRKXVERaltnjVltEA',1.0,3.5,18
282,b'l0WauZ92kRg9bu2oxHj4TQ',2.0,4.0,130
283,b'0g1uU280KFaGT9ZhhCrfhg',2.0,3.0,4
284,b'1Xh1i3SYhQ2I48iiwXnyxQ',1.0,3.0,5
285,b'Y8L-n2BUbCr31by8eYBazg',2.0,4.0,4
286,b'lxZoKGTQvsTFrahsYrPFKQ',1.0,3.5,19
287,b'M9fOuiesoUSaouOqNQ3U2w',1.0,4.0,149
288,b'RBOXMNb_gzdmy1CRPxv_4A',3.0,3.0,3
289,b'bwE6ur74Gd4BTaXBHudsCQ',2.0,5.0,7
290,b'o8TpuB5PmdXXYQhG_SxmhQ',2.0,3.0,14
291,b'oCsMUWF8gudHBE4lga0Bpw',1.0,2.5,7
292,b'SCDym9EeJT8YUkaqVO4cZQ',1.0,3.5,7
293,b'bAdwf-n52f46-ZjlfJ1Hwg',1.0,2.5,26
294,b'VQBOBXLk8f5dxtP1-_yPUw',2.0,3.5,35
295,b'ijg7qQCYnhUWBd5JUxbfvA',2.0,3.0,357
296,b'crGdKSRKi25R2vorZ7skzg',,4.5,3
297,b'UxabpWEP0L3PT6syGLSgqw',3.0,4.0,31
298,b'IqsQRoiVE535Z2JR-7xoWQ',1.0,2.0,12
299,b'2WiuLnyR8UWXjYQKgKBjkg',2.0,3.5,15
300,b'3c6FN1VrCAV4s60PsWTCLA',1.0,3.0,14
301,b'V2_MoJphE47wYFazVF1cSQ',1.0,2.5,5
302,b'C2mqIEnUWeo1UOcW00nWtA',3.0,4.0,15
303,b'vZbcZDWqIvHmUtS3Pky1tA',2.0,4.5,7
304,b'Ka3z0iudeviL2nEKZ4BeYg',1.0,4.0,50
305,b'v0KawuAO7clhXCDKobFs0g',1.0,3.0,71
306,b'l_eFv9Q9Q8RBLqfJJXi9ug',1.0,2.0,4
307,b'7yTtTjsZLi5Ef1vsr6ZPTw',2.0,2.5,75
308,b'R06MTQpLNdsnr5wrCkMXfQ',1.0,3.5,23
309,b'PYg9hhTfuE1HMwzXCAl1Hg',2.0,3.5,28
310,b'u-SvRRAfYgpbXZRfQgcTzA',2.0,4.0,231
311,b'3GGmY_QhqHnIEqk62p7cVA',1.0,3.5,42
312,b'nWMMI1z73AZOCRMSw1b5SA',2.0,3.0,10
313,b'ZyIlYBpGnRsLeoEfXo-mxg',2.0,3.5,36
314,b'HIvLwkEYuGRtI17H2x7RuQ',2.0,4.0,114
315,b'irQ0cNh04sg90B1NN-ekDA',2.0,4.0,13
316,b'RjZP38S11LqnPcoMxHESug',1.0,4.0,38
317,b'RO_QEX7VVdp698w_7mymuw',4.0,3.5,29
318,b'mYeUwj1BlhJTaHd1Uo6PUA',1.0,4.0,3
319,b'ceVWEkif38SMGNcBR55PNA',2.0,2.0,4
320,b'QA-vE43hE0Rd1CQgBboyNA',1.0,3.5,17
321,b'7Zmxle5A6XTZACIHgiC98Q',2.0,3.5,21
322,b'ZPZYNq9fNu2GyeCSz7U-fg',1.0,3.0,6
323,b'S68q2ejdupCsFOPQ-oRDmQ',2.0,4.0,22
324,b'hPTx2Y5e4Czbr21XcbDN8g',1.0,4.0,196
325,b'w_vkR8qzclBU15ygRc8jfQ',2.0,4.0,4
326,b'nA4jm1nIdSXZTKd5TYH79A',2.0,3.5,58
327,b'57nuqvG7IYS58-WAalEH3w',1.0,2.0,7
328,b'6wZdg1ursk12C3CTnF0gcg',1.0,4.5,21
329,b'UqcK-YuHPzcWQtNjmhTb7g',2.0,3.5,22
330,b'8b4amK9y5miP6-UzfH5K0A',4.0,3.5,3
331,b'XBDe0pFAw1B32tpAQN5t2g',2.0,3.5,38
332,b'nF5TXLMmC6IJgQxE9CEZPw',2.0,3.0,148
333,b'jf_h_Y8iNaduXJvpgLRPng',2.0,3.0,195
334,b'Yar8jR2a1XA2JuRKfmNDcw',2.0,5.0,3
335,b'NlBifQZCNUAnbuo_wKIVpg',2.0,4.5,31
336,b'OsuBqr2L0-5W8LGAsg-p8g',1.0,4.0,115
337,b'8v7nrjG5K0cMleIP4Kit-w',3.0,3.0,32
338,b'AYe8rS3qBPuLHSwNOZSbcA',2.0,3.0,229
339,b'aiX_WP7NKPTdF9CfI-M-wg',2.0,4.0,984
340,b'y4giWpQy1TYYX7sZOk9NNg',1.0,2.0,5
341,b'5_MrPFw9E0cMJ1Q0DJFZOQ',2.0,3.0,288
342,b'KPsu_1Q9XYRKWs_ZBTtlTg',2.0,2.5,6
343,b'ObV7olsEsNYjuMGNJ75jNw',2.0,3.5,17
344,b'tSbs8i_9Hlaommupjgn63Q',1.0,3.0,14
345,b'f4bM7MaGtxiKZbPJFFPVPQ',2.0,2.0,4
346,b'ey1eAQldmOASEuCdFVmTPA',2.0,3.0,13
347,b'GyJv9dkd5nmpgSSJgDtsnQ',1.0,2.0,6
348,b'qVQGfHphxolps16v6g5X-g',2.0,3.5,67
349,b'DDv2jmA0XYO5H40agMGfoQ',2.0,4.0,6
350,b'dTO0eEhgHnWt3glykO7J1Q',1.0,3.5,6
351,b'RFj91Y9mk2d824QyD9JTzA',1.0,3.5,33
352,b'wwEg_6bHfTrOpn_bygIQZg',1.0,2.0,20
353,b'2Ry7PhEAy7nDZyZCBYmJ2A',,2.0,8
354,b'bu4hyEunQWhCrNDwpb1Nxw',2.0,3.5,50
355,b'nEmEaEtnkFO7VW25e2ZDsQ',2.0,3.5,9
356,b'Q1cWYMaKaUw2MFY7_Szb4A',,4.0,5
357,b'E1WG9lbypCMKlKhAjzWRsQ',2.0,3.5,6
358,b'Fbycyr3KEjDQ4wO9AStmvQ',2.0,4.0,70
359,b'EPKn6OQrMPs8zVladIZ6lQ',,1.0,3
360,b'aA9U8Jxfx68A_rZeLlkTWQ',2.0,3.5,19
361,b'9gC44DSWlq2Zg0QzLGx4og',3.0,4.0,7
362,b'LCb2moBNkcBto_32rmZJ5A',2.0,4.0,147
363,b'oIoq6WQbyRpPZClMkHQNlQ',2.0,3.0,4
364,b'yg-wOyOPlH5ROpiweIJ2QQ',1.0,4.0,7
365,b'eoHkKySohgtDqWtHBqJ9xw',,3.0,3
366,b'JKis0v-LqK_u0p4SVhJNDw',2.0,4.0,5
367,b'Q9zcPQit3OMWoNRLLK7MQg',1.0,3.5,75
368,b'88ntJxZNxRIY8W_hji9pzg',2.0,3.5,86
369,b'CaJ-9PN-W9g6sjyFbB8Kdg',,4.5,9
370,b'8OjSgVD_tq6_S9eHGPERgw',1.0,3.5,9
371,b'IDW4QFw-fN_wk81G9OV-Mg',1.0,4.0,75
372,b'rnu3iUdqqNwcQS5uSeZFTQ',1.0,4.5,3
373,b'0UuE9LZE-oVZe1HfIhomBw',3.0,4.5,5
374,b'IaU1D197YBGko9CuKNi9gw',,3.5,5
375,b'j4jsgp-e315s11ehJfRzAA',3.0,3.5,82
376,b'SSCH4Z2gw-hh2KZy7aH4qw',2.0,5.0,336
377,b'Q_RpxG-YEMOk_yniWZfHCA',,3.0,3
378,b'OFw59czUoeeosFMKfRawmg',2.0,3.5,352
379,b'QDjGBiTGHr1Nh2Bo8CzFyg',1.0,4.5,3
380,b'4kDLEb1OgE7IrO54lCkn3A',2.0,4.0,117
381,b'Jd2NUZeVeyWi1tTNKXMt1Q',2.0,4.0,398
382,b'SucJwTrxbA0ko8V0HddGzg',2.0,3.5,31
383,b'1AYE97AIgg7j8mr92rwswA',,4.5,3
384,b'kuAWQKIhXj5jiO5Ll4SuMQ',2.0,3.0,82
