business_id,categories
b'YhV93k9uiMdr3FlV4FHjwA',"['Marketing', ""Men's Clothing"", 'Restaurants', 'Graphic Design', ""Women's Clothing"", 'Screen Printing', 'Advertising', 'Pizza', 'Shopping', 'Web Design', 'Fashion', 'Local Services', 'Screen Printing/T-Shirt Printing', 'Professional Services']"
b'aFBCmJUYrPeol_P75QX7Jw',"['Restaurants', 'Italian']"
b'F0fEKpTk7gAmuSFI0KW1eQ',"['Italian', 'Restaurants']"
b'dTWfATVrBfKj7Vdn0qWVWg',"['Restaurants', 'Chinese', 'Food Court']"
b'HAX1zec191t7QkT2sBZ76A',"['Restaurants', 'Cuban']"
b'VdlPZg2NAu8t8GkdbPLecg',"['Restaurants', 'Gluten-Free', 'Indian', 'Seafood']"
b'c7X2SdKxVJMaOnFROO8WEg',"['Pizza', 'Food', 'Internet Cafes', 'Restaurants', 'Caribbean']"
b'1nhf9BPXOBFBkbRkpsFaxA',"['Breakfast & Brunch', 'Food', 'Coffee & Tea', 'Canadian (New)', 'Restaurants']"
b'QkG3KUXwqZBW18A9k1xqCA',"['American (Traditional)', 'Restaurants', 'Seafood']"
b'sJ0MYSAIVK28cMzh-s-NPA',"['Indian', 'Restaurants', 'Fast Food']"
b'gIVjdDWRnS1yDVpPF3oUeg',"['Italian', 'Chicken Wings', 'Fast Food', 'Restaurants', 'Pizza']"
b'veXxt8rGY_RJPpA5QkHT9Q',"['Food', 'Restaurants', 'Tacos', 'Food Trucks', 'Mexican']"
b'T5CdfrZWw-uW9Y5L_sddqQ',"['Pizza', 'Restaurants']"
b'5XejqzaFmtkZMstJS5Iy-w',"['Vegan', 'American (New)', 'Restaurants', 'Sandwiches', 'Salad', 'Wraps', 'Food']"
b'Wpt0sFHcPtV5MO9He7yMKQ',"['Restaurants', 'Fast Food', 'Burgers']"
b'WUiDaFQRZ8wKYGLvmjFjAw',"['Buffets', 'Restaurants', 'Sushi Bars', 'Chinese']"
b'nAFI7JZEhmvUKMKSA_5Chg',"['Cafes', 'Nightlife', 'Wine Bars', 'Bars', 'Restaurants']"
b'5q6Xh-UcJa78bp6dzyaE7w',"['Breakfast & Brunch', 'Food', 'Coffee & Tea', 'Donuts', 'Restaurants']"
b'MTH-AcNyWfsBa9sXp04HcQ',"['Food', 'Delis', 'Fast Food', 'Sandwiches', 'Restaurants']"
b'nigYwB_m1TQ1WosjSWi-Hw',"['Burgers', 'Restaurants']"
b'W1Yr6c2XDx_RBjb6WsV-aQ',"['Restaurants', 'Cafes', 'American (New)', 'Bars', 'Nightlife', 'Wine Bars']"
b'SJAggfn8ta7XLD98XD2mkw',"['Burgers', 'Fast Food', 'Restaurants']"
b'KX_4sldJKgkEWaYVfSWjwQ',"['Restaurants', 'Food', 'Vietnamese']"
b'vzx1WdVivFsaN4QYrez2rw',"['Sandwiches', 'Restaurants', 'Fast Food']"
b'-McKyjNSqS1h9dDJH3dyUA',"['Restaurants', 'Coffee & Tea', 'Cafes', 'German', 'Food']"
b'JmKgz6n7zn24F-WkgT-kiA',"['Restaurants', 'Sushi Bars', 'Japanese', 'Asian Fusion']"
b'zV_aclADLjx2KOql9F_FTw',"['Restaurants', 'Creperies']"
b'yh-NN-dCaxxleNcI-_bsUA',"['Pizza', 'Restaurants']"
b'bA21m-qbgN_GNR6g-AlfYw',"['Restaurants', 'Chinese']"
b'd7AtQMYDUh40DeJinidFNQ',"['Restaurants', 'Sandwiches', 'Delicatessen', 'Asian Fusion', 'Food', 'Cafes']"
b'z1hRMOmEvw7jx4cq4-8Yfw',"['Food', 'Local Flavor', 'Canadian (New)', 'Sugar Shacks', 'Restaurants', 'American (Traditional)']"
b'UlI0TksGFiIXtcbtg2KalQ',"['Restaurants', 'Thai', 'Vietnamese', 'Chinese']"
b'Uy3_5nLo3sYkAuSX6mjdmg',"['Restaurants', 'American (Traditional)']"
b'mLP-jIIRdoaYM7fJqqFurw',"['Italian', 'Pizza', 'Restaurants', 'Salad']"
b'GDOAg680Gmi6S1MlhU7B1g',"['Mexican', 'Tex-Mex', 'Restaurants', 'Fast Food']"
b'2v-8QQfMLX2PCz-0S6gISQ',"['Pizza', 'Restaurants', 'Fast Food']"
b't8yi2l7pZF43Rlf9_lHdDA',"['Burgers', 'Restaurants']"
b'AXb5gCwqHl-_v6ZIMb1mXQ',"['Hotels', 'Restaurants', 'Event Planning & Services', 'American (New)', 'Hotels & Travel']"
b'5GAXZ7gJ81TSR0-Q6AMp_A',"['Italian', 'Restaurants']"
b'kyXEnWKQGWSThY6EcjORuw',"['Restaurants', 'Greek', 'Salad', 'Mediterranean']"
b'M3uV9Y3EDSpy9d4YwyNSAQ',"['Nightlife', 'Japanese', 'Music Venues', 'Ramen', 'Arts & Entertainment', 'Restaurants', 'Bars']"
b'nSD-uxCMb745bH3dxoko9Q',"['Tex-Mex', 'Mexican', 'Restaurants', 'Fast Food']"
b'vMO2vNyWLuxumso7t3rbYw',"['Food Court', 'Restaurants', 'Barbeque']"
b'NOHh2pgOTUBqp82IQlRQMQ',"['Canadian (New)', 'Restaurants', 'Breakfast & Brunch']"
b'Qv0OEziLJwyAqcgtrTsA4w',"['Italian', 'Restaurants', 'Sandwiches', 'Hot Dogs']"
b'aD4qhONCE5catMdQC4sqwg',"['Restaurants', 'Pizza']"
b'akRtfcCezswizRIaAqJ4fQ',"['Chicken Wings', 'Restaurants', 'Fast Food']"
b'5BjhQ_Tmm9ppK4UGrMr09g',"['Restaurants', 'Sandwiches', 'Delis']"
b'XguKrY0dAuaK1W6HUlUQ1Q',"['Italian', 'Restaurants', 'Pizza']"
b'Rh2smrKvcamnP8VBUgMI0Q',"['Chinese', 'Restaurants', 'Dim Sum']"
b'Svs-B-a5-13D2dGTKxLsyw',"['Restaurants', 'Fast Food']"
b'O_UC_izJXcAmkm6HlEyGSA',"['Mexican', 'Restaurants', 'Nightlife', 'Bars']"
b'_ltkVUDwaI0MTxv8g21k1A',"['Fast Food', 'Restaurants', 'Chinese']"
b'by_hdCLqAMHW8EEfPYjktA',"['Food', 'Caterers', 'Restaurants', 'Fast Food', 'French', 'Event Planning & Services', 'Food Delivery Services']"
b'6PwKC0dqP9uI85FEP86iPQ',"['Sushi Bars', 'Restaurants', 'Japanese', 'Asian Fusion', 'Vietnamese']"
b'WZdHNL9F0VWPRGLf1GQcbA',"['Fast Food', 'Restaurants', 'Burgers', 'Breakfast & Brunch', 'American (New)']"
b'ww_MXl-qDLeYdYTZZ9KWbA',"['Vietnamese', 'Restaurants']"
b'd4GBb0eVWVdfL5aJx3UCRg',"['Arts & Entertainment', 'American (Traditional)', 'Sushi Bars', 'Nightlife', 'Restaurants', 'Music Venues']"
b'Mmh4w2g2bSAkdSAFd_MH_g',"['Restaurants', 'Asian Fusion']"
b'lBNPDcSvmUbq7W69HvmRTA',"['Italian', 'Pizza', 'Chicken Wings', 'Restaurants']"
b'U1ZVgF-kfkvv_rcoe0RglQ',"['Restaurants', 'Noodles', 'Vietnamese']"
b'FfI9FOaQqzUxixw6_glt3Q',"['Restaurants', 'Italian']"
b'3b4efqz06QrLQ_w2xLc4pA',"['Restaurants', 'Italian']"
b'dPxZI9lrKTl5dvFfnb1_Ig',"['Seafood', 'Italian', 'Pizza', 'Restaurants']"
b'LrYSnxLKarkzeNHqq50r-A',"['Food', 'Delis', 'Bakeries', 'Restaurants']"
b'RAUI7uwpMP6dlcHXkavwHg',"['Burgers', 'Restaurants']"
b'irYAkavSVtIEyGOsHK-yPw',"['Event Planning & Services', 'American (New)', 'Sandwiches', 'Salad', 'Caterers', 'Restaurants']"
b'K8dYoXbGDWJr_vSlVwDN1A',"['Buffets', 'Restaurants', 'Indian']"
b'fUOY7g6JcO0m3iZNfK0O0g',"['Restaurants', 'Japanese', 'Sushi Bars']"
b'WfB_SsYeKy83QQsqAAyGVQ',"['Karaoke', 'Bars', 'Mexican', 'Restaurants', 'Nightlife', 'Dance Clubs']"
b'mFE7N0p3f_7vcMTUy76ifw',"['American (Traditional)', 'Breakfast & Brunch', 'Salad', 'Burgers', 'Restaurants']"
b'YgPz8vB7tw1B61qi_NLP9w',"['Italian', 'Restaurants']"
b'btRo30YqzXeTbgxk6gnLMw',"['Pizza', 'Italian', 'Chicken Wings', 'Restaurants']"
b'75MOveOQwQYbKR02rULdHA',"['Restaurants', 'Chinese']"
b'WEouNHHxfqGa8gYAnyiyBA',"['Restaurants', 'Mexican']"
b'9zSRAOUIM3I2ZnY9xwvioQ',"['Restaurants', 'American (Traditional)']"
b'VGRn5KgYKMkqdIKtBUzQQA',"['American (Traditional)', 'Burgers', 'Restaurants']"
b'WO5uv-M-u5AG24PiRLYnZA',"['Chinese', 'Restaurants', 'Vietnamese', 'Asian Fusion']"
b'0ZNIAF_1d83uK1Z7mADTfA',"['Restaurants', 'Italian', 'Chicken Wings', 'Pizza']"
b'1P1YZZl9HXSYeSJR6cjf_Q',"['Restaurants', 'Thai']"
b'j37Z4LIXTH9j6KOq9aX8DQ',"['Beer', 'Wine & Spirits', 'American (New)', 'Restaurants', 'Nightlife', 'Food', 'Bars', 'Belgian', 'Sandwiches', 'Pubs']"
b'_eKvk2GoGKb3CoYolHgRlg',"['Greek', 'Vegetarian', 'Sandwiches', 'Mediterranean', 'Restaurants']"
b'SAae44V24aD7y_HpgxjhPA',"['Restaurants', 'Mexican']"
b'fx2GjJQyFb4FbueV0vX-KA',"['German', 'International', 'Food', 'Restaurants', 'French', 'Specialty Food', 'Modern European']"
b'6Kp9W5ZvVn--6caQ73_QXg',"['Restaurants', 'Chinese']"
b'_--LAZXefssKWdyn-BTp9A',['Restaurants']
b'kRgP3LxO2ugBrC1YpWLncA',"['Restaurants', 'Asian Fusion', 'Thai']"
b'dd9eOcxR3KsEHkimIwqcrg',"['Restaurants', 'Breakfast & Brunch']"
b'mfQlXkeNhW1vz_1iq63mNQ',"['Restaurants', 'Fast Food', 'Mexican']"
b'owwKUc2VFUMgRPZFEgrtKA',"['Restaurants', 'Vietnamese']"
b'6CpAWkTcqqNtGAfOsPeFUw',"['American (Traditional)', 'Restaurants', 'Sandwiches', 'Steakhouses', 'American (New)', 'Fast Food']"
b'u29lf2yPd-qK5ThAS9FRQQ',"['Restaurants', 'Thai']"
b'PmDhZiyiHI6O3RJXXojJcA',"['Pizza', 'Restaurants']"
b'XjbPr3o-YTsticeavLjTEg',"['Barbeque', 'Sports Bars', 'Restaurants', 'Nightlife', 'Bars', 'Chicken Wings']"
b'kFuFm8NmxyVkj4xVWO1ugw',"['Restaurants', 'Breakfast & Brunch']"
b'lUSd0oIMqN4qbFJWX8mIzA',"['Fast Food', 'Restaurants', 'Burgers']"
b'KYEZATGRY5aD69ZR6VvyWQ',"['Dance Clubs', 'Nightlife', 'Restaurants', 'Barbeque', 'American (Traditional)']"
b'inaACfObL1NBNJmBG11iuQ',"['Restaurants', 'Food', 'Sandwiches', 'Coffee & Tea', 'Delis']"
b'pBoWsom3mZFYo9EucIWRDg',"['Restaurants', 'Japanese', 'Sushi Bars']"
b'E4I_MLoRNwLCZ8mHr4fRpQ',"['Restaurants', 'Barbeque']"
b'7J_8O6w79raFRSORc3bRew',"['Bubble Tea', 'Restaurants', 'Food', 'Vietnamese']"
b'qB15WElGAlI_eGWjn0kT2w',"['Tex-Mex', 'Fast Food', 'Restaurants', 'Mexican']"
b'575BoZY8tDPcfSRcdsUNLw',"['American (New)', 'American (Traditional)', 'Restaurants', 'Breakfast & Brunch', 'Diners']"
b'QAXFmt__jImnIEvhAVZsJA',"['Restaurants', 'Pizza']"
b'Di5ApLgoQpcv5Aew82fI_A',"['Restaurants', 'Cantonese', 'Chinese']"
b'OJ23YGPnscazBaX4CyssKg',"['Restaurants', 'Chinese']"
b'rSCevr5tQJTxPzMIq3n5Gw',"['Restaurants', 'Asian Fusion']"
b'3N5bwNdig7uRddd3kozENA',"['Chicken Wings', 'Fast Food', 'Restaurants']"
b'tCJGEQVqjELLYv3fPNX5Rw',"['Nightlife', 'Restaurants', 'Steakhouses', 'Wine Bars', 'Bars', 'Seafood']"
b'W8GVfGILy7an385lZSEvSw',"['Burgers', 'Restaurants']"
b'rv9T1qGHbh9eXqFpKEPy_A',"['Restaurants', 'Chinese']"
b'gEJZ5USuvC1r8_QvSvDCNA',"['Restaurants', 'Asian Fusion', 'Korean']"
b'OvbLKXkJCg8ZMHX9L5faIA',"['Burgers', 'Restaurants']"
b'75RP4HSsSJOe_e7e2e3jQQ',"['Breakfast & Brunch', 'Restaurants']"
b'2cfzQGANxuIGcCUrlwnV7w',"['Fast Food', 'Chicken Wings', 'Southern', 'Restaurants']"
b'1vU_fJZ8B8oCc7S4dtRuEw',"['Restaurants', 'Italian']"
b'f-ZCLP1SL1a8qvTrPBI-DQ',"['Restaurants', 'Hungarian']"
b'wRmPV-RvcqcjeyUeOaJQCg',"['Restaurants', 'American (Traditional)', 'Food', 'Coffee & Tea', 'Salad', 'Breakfast & Brunch']"
b'JxSmlL_MckX0dvS5XBg0Cg',"['Greek', 'Restaurants', 'American (New)']"
b'HVd718KlG6VdY5oh5LH7mQ',"['Chinese', 'Restaurants']"
b'T2jfXhvQPk9wLdt1OVV-Kg',"['Pubs', 'Whiskey Bars', 'Nightlife', 'Breakfast & Brunch', 'Restaurants', 'Bars']"
b'ECqc9Xd0dTdKmcNrbIizAw',"['Southern', 'Mexican', 'Restaurants', 'Nightlife', 'Bars']"
b'xT_xzBj-CmxdXdcx6ONGLA',"['Burgers', 'Bars', 'Restaurants', 'Pizza', 'Nightlife', 'Pubs']"
b'dcGq4lhHAuPpKYHcLP_Xmg',"['Indian', 'Restaurants']"
b'AYnFgzhlMLs4c3G-k-cA0A',"['Fast Food', 'Restaurants', 'Ice Cream & Frozen Yogurt', 'Food']"
b'ugdUuApH3pYXggW5qpbALg',"['Restaurants', 'Mexican', 'Latin American']"
b'1Nq7GxjvEDgAJxBeOjR_9Q',"['Mexican', 'Restaurants']"
b'-p-CuUMzN0HQz9OCQ8SZOA',"['Pakistani', 'Restaurants', 'Indian', 'Seafood', 'Halal']"
b'ZBSha-zoPLias7wCQ0ZyVw',"['Restaurants', 'Italian']"
b'DkBer3JjUGfKEsZCLtfgvA',"['Salad', 'Restaurants', 'Vegetarian', 'Gluten-Free']"
b'to2cGMKdaw7ZHbXMzpfhlA',"['Restaurants', 'Mexican']"
b'X2oxkKB-wlu8xV0P8fbfiQ',"['Restaurants', 'Chicken Shop']"
b'0RrHQNdsMK3jPlK4f9_wWA',"['Sandwiches', 'Food', 'Restaurants', 'Coffee & Tea', 'Breakfast & Brunch']"
b'T1U7Te9Ulv2Qqfzna4JuYA',"['Fast Food', 'Restaurants']"
b'yHCoJZh5nx0Onr5xgMaUHg',"['Grocery', 'International Grocery', 'Food', 'Korean', 'Ethical Grocery', 'Restaurants']"
b'EgGdnaotJpPvxCFyZPJeUw',"['Restaurants', 'Pizza']"
b'5bGFrGqzooCchYXXorGL7w',"['Noodles', 'Japanese', 'Barbeque', 'Diners', 'Restaurants']"
b'-Ut87cwGFsO3444Rd11p0Q',"['Mexican', 'Restaurants']"
b'lK-wuiq8b1TuU7bfbQZgsg',"['Shopping', 'Flowers & Gifts', 'Arts & Entertainment', 'Cafes', 'Coffee & Tea', 'Restaurants', 'Local Flavor', 'Museums', 'Shopping Centers', 'Art Galleries', 'Florists', 'Food']"
b'VaFRggkuU-gZDMbnvAZOtg',"['Italian', 'Restaurants']"
b'lrm8hNDtwd5Wd0tVjOgCyw',"['Greek', 'Restaurants', 'Mediterranean']"
b'D1E_6MBFKeU2a7EQ4IwoEQ',"['Restaurants', 'Pizza']"
b'qwlsGR-pJb6xMWJBqiNIQw',"['Specialty Food', 'Seafood Markets', 'Sushi Bars', 'Food', 'Restaurants', 'Seafood', 'Japanese']"
b'03bL5yYHb-chhJwyeSAkfQ',"['Indian', 'Restaurants', 'Pakistani']"
b'AfL8Ds7ex73tfVbq3EFWKg',"['Restaurants', 'Mexican']"
b'k-6pef2sjWEyyBqgTAQcRA',"['Breakfast & Brunch', 'Coffee & Tea', 'Restaurants', 'Food']"
b'R8Mw0iFenJ3nwXuZb7Ql4A',"['Desserts', 'Food', 'Restaurants', 'Specialty Food', 'Chinese']"
b'AKhyVVdettT6M-ExhYKHdw',"['Restaurants', 'Food', 'Coffee & Tea', 'Soup']"
b'KENynjpbyq33DjGWXOip2Q',"['Pizza', 'Restaurants']"
b'J1oc5GMKIiVZ16tgWJtEdg',"['Sandwiches', 'Fast Food', 'Restaurants']"
b'LPq-IOpA_VrZ2xRh1A6Ssw',"['Event Planning & Services', 'Sandwiches', 'Restaurants', 'Nightlife', 'American (Traditional)', 'Salad', 'Cocktail Bars', 'Venues & Event Spaces', 'Bars']"
b'bGao_iVv3TAYcZ_5y9bOCQ',"['French', 'Restaurants']"
b'Xq9SvfRq_PBr8ma6vwh_Mw',"['Chicken Wings', 'Restaurants', 'Pizza', 'Italian']"
b'm6RT6O6Ad8pAfQwyjxYA8w',"['Italian', 'Restaurants', 'Pizza']"
b'0LKcSabd5Gd5oz-qrHTzZg',"['Lounges', 'Restaurants', 'Nightlife', 'Bars', 'Italian']"
b'wztnDEbXD1VNvHMMPj2tMw',"['Burgers', 'Fast Food', 'American (New)', 'American (Traditional)', 'Breakfast & Brunch', 'Restaurants', 'Diners']"
b'mZK8IBkMFzOX2UmA7_BylA',"['American (New)', 'Restaurants', 'Breakfast & Brunch', 'American (Traditional)']"
b'_3IE9guLHvAr-kJpH4Zd7Q',"['Fish & Chips', 'Restaurants', 'Poutineries', 'Burgers']"
b'oHeiAs-mnDJU1_4BD8_5Dg',"['Mexican', 'Restaurants']"
b'FuO6d7IR1ee-3Bfo-gu1HQ',"['Restaurants', 'Buffets']"
b'zG0oD8WNqH94ZFZf_VBLgg',"['Greek', 'Restaurants']"
b'e4tpnasQOzkoIegUg__aiw',"['Delis', 'Restaurants']"
b'pFmuMpPANaAFQ1PGVv1FeQ',"['Restaurants', 'Indian']"
b'WMj5Uj04pAqFxLMnJQcQqw',"['Restaurants', 'Fast Food', 'Chinese']"
b'tpG_KqvR1v2GrlLKNAChBw',"['Bars', 'American (Traditional)', 'Restaurants', 'Sports Bars', 'Nightlife']"
b'RGmBfqdFb0giLPG-SZbQUQ',"['Food', 'Restaurants', 'Specialty Food', 'Mexican', 'Candy Stores', 'Ice Cream & Frozen Yogurt']"
b'bEn1L8tr2SFTlyQIw79gOg',"['Restaurants', 'Ethnic Food', 'Food', 'Chinese', 'Specialty Food']"
b'NoSj3hV8Rlz_gUsOL4_EjQ',"['Nightlife', 'Pubs', 'Restaurants', 'Irish', 'Bars']"
b'OlGImeovM5U14T5q5DnVSg',"['Chinese', 'Restaurants']"
b'M-rqZ56wTGSNoIIsBSlhDA',"['Restaurants', 'Chinese']"
b'0s0Xthk1JWrBUu74M81Xyg',"['American (New)', 'Breakfast & Brunch', 'Restaurants']"
b'SlelFNxQz5PJbl6kkjI0OA',"['Restaurants', 'Japanese']"
b'7aUnd76Myn3ocL425AWGeg',"['Restaurants', 'Bars', 'Nightlife', 'Pizza']"
b'eY2i8JbK0AnFvMs-CyV39w',"['Restaurants', 'Italian', 'Pizza', 'Chicken Wings']"
b'rG-yvE321mGxakrO-55J5Q',"['Coffee & Tea', 'Restaurants', 'Bagels', 'Sandwiches', 'Food', 'Donuts']"
b'kgAFhUm4sim7RPnNDvSZew',"['Pizza', 'Restaurants']"
b'pUihHVilZtpZz4FApnOvtA',"['Middle Eastern', 'Restaurants']"
b'LhWwwDJ2l79a1tHrpcdK6A',"['Nightlife', 'Restaurants', 'Bars', 'Italian']"
b'z-5YXiSmZchuoANnqfp1vg',"['Thai', 'Restaurants']"
b'4-YKQyhDR2bZ26AYgZ7aFg',"['Food', 'Restaurants', 'Korean', 'Grocery']"
b'bQczh42duSfnETW-73xaTQ',"['Restaurants', 'Fast Food']"
b'IfUkm42SB9D0m_ZbkQ711A',"['Restaurants', 'Seafood', 'Sandwiches']"
b'7U23rwCmVWasFQ0cHRMYVw',"['Chinese', 'Thai', 'Food', 'Restaurants', 'Vietnamese']"
b'sUMi2q41l4AzOsmJMRY8zQ',"['Delis', 'Sandwiches', 'Restaurants', 'Breakfast & Brunch']"
b'CyKi4WgsRNpp3jgsxBEcDg',"['Food', 'Bakeries', 'Restaurants', 'Cafes']"
b'_ewxwEwJM-IYfIYnKpQOZw',"['Restaurants', 'Ice Cream & Frozen Yogurt', 'Shaved Ice', 'Hot Dogs', 'Food']"
b'sKIAHIGW0viQGFAMGgQ3Rg',"['Sushi Bars', 'Japanese', 'Restaurants']"
b'EEePiBwchl-TIBVcTdE0RA',"['Burgers', 'Fast Food', 'Restaurants']"
b'nsoSw8B3teY2FGAEPfiVfA',"['Restaurants', 'Chicken Wings', 'Chicken Shop']"
b'qLCrPakPU9uArigtDu-KiQ',"['Korean', 'Canadian (New)', 'Restaurants', 'Tapas Bars']"
b'cRrwqSHsJLC9C6ZWJ50aFw',"['American (Traditional)', 'Burgers', 'Restaurants', 'Fast Food']"
b'A029GQG1S3ekPit6cObcBA',"['Restaurants', 'Indian', 'Buffets']"
b'ziEGXxNH55x7CMi0eAouKg',"['Himalayan/Nepalese', 'Restaurants']"
b'0v984vlPQfb4VZWvBJSsfg',"['Sushi Bars', 'Restaurants', 'Nightlife', 'Lounges', 'American (New)', 'Bars']"
b'JlIqG-00xE7ZpypSYq4uMQ',"['Sandwiches', 'Bakeries', 'Food', 'Chicken Wings', 'Cafes', 'Restaurants', 'Cajun/Creole']"
b'itnExCtgV-49SKgMs3M7kg',"['Restaurants', 'Mexican', 'Fast Food']"
b't2GtB-aiOzrNnuGxZV190g',"['Pizza', 'Restaurants']"
b'J9f-9Prw2YVM-fiZqv2fmQ',"['Hot Dogs', 'Restaurants', 'Pizza', 'Burgers']"
b'O_UiTH7YjqTS1UTk-shFnA',"['Restaurants', 'Vegetarian', 'Live/Raw Food']"
b'yIZROHhe6hfmmzLCtTIEJQ',"['Restaurants', 'Fast Food', 'Creperies']"
b'9YiIVnH_QokhOCqho28CPg',"['Fast Food', 'Restaurants', 'Burgers']"
b'TIpwAF4h4A7Smj17T8uL9A',"['Burgers', 'Restaurants']"
b'2utGLjz9HlhK6QqPOAtGHg',"['Food', 'Donuts', 'Desserts', 'Breakfast & Brunch', 'Restaurants', 'Coffee & Tea', 'Sandwiches', 'Bakeries']"
b'-JDAieYuZocQSVYGqwWKog',"['Indian', 'Restaurants']"
b'gchI4BdZ76teMX9BsI2H-w',"['Steakhouses', 'Salad', 'Italian', 'Restaurants', 'Breakfast & Brunch', 'Seafood', 'American (New)']"
b'KhWl4Mwhm_Oqq0zIIz-0wQ',"['Buffets', 'Seafood', 'Restaurants']"
b'M6jDeU_3sigyxVnRgHTBDg',"['Sandwiches', 'Fast Food', 'Restaurants', 'Delis']"
b'-DtaPJJ-beogNkDKusGhlA',"['Japanese', 'Korean', 'Restaurants']"
b'wtazPNyIbsRMHmrpEYbqZA',"['Food', 'Restaurants', 'Caribbean', 'Bakeries']"
b'NVzyNCSHRbOe0x1A74I61w',"['Pizza', 'Restaurants', 'Cheesesteaks']"
b'v0byOL8VL6v6muGa1anxFA',"['Event Planning & Services', 'Caterers', 'Burgers', 'Greek', 'Restaurants', 'Middle Eastern', 'Mediterranean']"
b'eSQt_QNjxNEYN3bF1fHbQg',"['British', 'Cafes', 'Restaurants']"
b'wFnMOhf51su_yIcHWdCeLw',"['Restaurants', 'Caribbean']"
b'aNe8ofTYrealxqv7VtFTuw',"['American (New)', 'Restaurants', 'Pubs', 'Nightlife', 'Sports Bars', 'Bars', 'Food', 'Pizza', 'Breweries']"
b'lHyTZFd8XXtvPwo-_qeTXA',"['Fast Food', 'Delis', 'Restaurants', 'Sandwiches']"
b'a5xUI7TvsNhM5gZr6KowDg',"['Restaurants', 'Chinese']"
b'HQObn6hrV9WoeFObGfa2YQ',"['Restaurants', 'Tacos', 'Mexican']"
b'pidpBdWsOFfe7pWypBIoiQ',"['Hawaiian', 'Asian Fusion', 'Restaurants', 'Korean']"
b'PgJgpW4TKQ8IoALH2Yq-zA',"['Arts & Entertainment', 'Restaurants', 'Buffets', 'American (Traditional)', 'Casinos']"
b'VqF6Uky7SGfjWitgxrhlJA',"['Pizza', 'Restaurants']"
